country,commodity,season,factor
GB,crude,Q1,0.9
GB,crude,Q2,1.1
GB,crude,Q3,1.3
GB,crude,Q4,1.1
GB,natgas,Q1,1.3
GB,natgas,Q2,1.1
GB,natgas,Q3,0.9
GB,natgas,Q4,1.2
GB,power,Q1,0.9
GB,power,Q2,1.1
GB,power,Q3,1.2
GB,power,Q4,1.0
FR,crude,Q1,0.9
FR,crude,Q2,1.1
FR,crude,Q3,1.3
FR,crude,Q4,1.1
FR,natgas,Q1,1.3
FR,natgas,Q2,1.1
FR,natgas,Q3,0.9
FR,natgas,Q4,1.1
FR,power,Q1,0.9
FR,power,Q2,1.1
FR,power,Q3,1.2
FR,power,Q4,1.0
DE,crude,Q1,0.9
DE,crude,Q2,1.1
DE,crude,Q3,1.1
DE,crude,Q4,1.1
DE,natgas,Q1,1.4
DE,natgas,Q2,1.1
DE,natgas,Q3,1.0
DE,natgas,Q4,1.1
DE,power,Q1,0.9
DE,power,Q2,1.1
DE,power,Q3,1.3
DE,power,Q4,1.0
NL,crude,Q1,0.9
NL,crude,Q2,1.1
NL,crude,Q3,1.2
NL,crude,Q4,1.1
NL,natgas,Q1,1.3
NL,natgas,Q2,1.1
NL,natgas,Q3,0.9
NL,natgas,Q4,1.2
NL,power,Q1,0.9
NL,power,Q2,1.1
NL,power,Q3,1.3
NL,power,Q4,1.0
